TV Rank,TV Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
30,Fantasy Island,2021- ,6.1,N/A,"
Adventure, Drama, Fantasy            ",TV-14
31,What We Do in the Shadows,2019- ,8.6,30,"
Comedy, Fantasy, Horror            ",TV-MA
32,Ghosts,2019- ,8.3,30,"
Comedy, Fantasy            ",TV-14
33,Warrior Nun,2020-2022,7,N/A,"
Action, Drama, Fantasy            ",TV-MA
34,Once Upon a Time,2011-2018,7.7,60,"
Adventure, Fantasy, Romance            ",TV-PG
35,Teen Wolf,2011-2017,7.7,41,"
Action, Drama, Fantasy            ",TV-14
36,Interview with the Vampire,2022- ,7,N/A,"
Drama, Fantasy, Horror            ",TV-MA
37,Kindred,2022,7.4,42,"
Drama, Fantasy, Mystery            ",TV-MA
38,Bleach: Thousand-Year Blood War,2022- ,9.2,24,"
Animation, Action, Adventure            ",TV-MA
39,"Love, Death & Robots",2019- ,8.4,15,"
Animation, Short, Action            ",TV-MA
40,Avatar: The Last Airbender,2005-2008,9.3,23,"
Animation, Action, Adventure            ",TV-Y7-FV
41,Island,2022- ,7,55,"
Action, Adventure, Drama            ",N/A
42,Daredevil,2015-2018,8.6,54,"
Action, Crime, Drama            ",TV-MA
43,Peacemaker,2022- ,8.3,40,"
Action, Adventure, Comedy            ",TV-MA
44,Demon Slayer: Kimetsu no Yaiba,2019- ,8.7,24,"
Animation, Action, Adventure            ",TV-MA
45,Arcane,2021- ,9,41,"
Animation, Action, Adventure            ",TV-14
46,The Wheel of Time,2021- ,7.1,60,"
Action, Adventure, Drama            ",TV-14
47,Star Wars: The Clone Wars,2008-2020,8.4,23,"
Animation, Action, Adventure            ",TV-PG
48,The Good Place,2016-2020,8.2,22,"
Comedy, Drama, Fantasy            ",TV-PG
49,Shadow and Bone,2021- ,7.6,60,"
Action, Adventure, Drama            ",TV-14
50,The Santa Clauses,2022,6.3,33,"
Comedy, Drama, Family            ",TV-PG
1,Taskmaster,2015- ,9,47,"
Comedy, Game-Show            ",TV-14
2,The Traitors,II) (2022- ,8.9,59,"
Game-Show, Reality-TV            ",N/A
3,Too Hot to Handle,2020- ,4.7,40,"
Game-Show, Reality-TV, Romance            ",TV-MA
4,The Circle,2020- ,7.3,48,"
Game-Show, Reality-TV            ",TV-MA
5,RuPaul's Drag Race,2009- ,8.5,63,"
Game-Show, Reality-TV            ",TV-14
6,Survivor,2000- ,7.5,60,"
Adventure, Game-Show, Reality-TV            ",TV-PG
7,Dance Monsters,2022- ,5.6,N/A,"
Game-Show, Reality-TV            ",TV-PG
8,Hell's Kitchen,2005- ,7.1,42,"
Game-Show, Reality-TV            ",TV-14
9,The Challenge,1998- ,7.9,60,"
Adventure, Game-Show, Reality-TV            ",TV-14
10,Alone,2015- ,8.4,44,"
Documentary, Game-Show, Reality-TV            ",TV-14
11,Love Island,2019- ,5,42,"
Game-Show, Reality-TV            ",TV-MA
12,The Mole,2022- ,7.7,45,"
Adventure, Game-Show, Mystery            ",TV-MA
13,The Parent Test,2022- ,7.2,N/A,"
Family, Game-Show, Reality-TV            ",N/A
14,Lego Masters,2020- ,7.5,60,"
Game-Show, Reality-TV            ",TV-PG
15,Love Is Blind,2020- ,6.1,48,"
Game-Show, Reality-TV, Romance            ",TV-MA
16,Barmageddon,2022- ,6.3,N/A,"
Game-Show            ",N/A
17,Naked and Afraid,2013- ,6.6,43,"
Adventure, Game-Show, Horror            ",TV-14
18,Would I Lie to You?,2007- ,8.2,30,"
Comedy, Game-Show            ",TV-PG
19,8 Out of 10 Cats Does Countdown,2012- ,8.2,30,"
Comedy, Game-Show            ",TV-MA
20,QI,2003- ,8.6,30,"
Comedy, Game-Show            ",TV-PG
21,Shark Tank,2009- ,7.7,60,"
Family, Game-Show, Reality-TV            ",TV-PG
22,The Wheel,2022- ,6.6,N/A,"
Game-Show            ",TV-PG
23,Whose Line Is It Anyway?,2013- ,8.4,22,"
Comedy, Game-Show            ",TV-PG
24,Baking It,2021- ,7.2,N/A,"
Game-Show, Reality-TV            ",TV-PG
25,Cook at All Costs,2022- ,6.5,35,"
Game-Show, Reality-TV            ",TV-G
26,Love Island,2015- ,5.2,60,"
Game-Show, Reality-TV, Romance            ",TV-MA
27,The Amazing Race,2001- ,7.8,60,"
Adventure, Family, Game-Show            ",TV-PG
28,Snack vs. Chef,2022- ,5.4,40,"
Game-Show, Reality-TV            ",TV-PG
29,Drink Masters,2022- ,6.7,40,"
Game-Show, Reality-TV            ",TV-MA
30,Match Game,1973-1990,8.3,30,"
Comedy, Game-Show            ",TV-PG
31,The Masked Singer,2019-2023,5.9,60,"
Game-Show, Music, Reality-TV            ",TV-PG
32,America's Got Talent,2006- ,5.8,60,"
Game-Show, Music, Reality-TV            ",TV-PG
33,Worst Cooks in America,2010- ,6.3,60,"
Comedy, Game-Show, Reality-TV            ",TV-G
34,Dr. Seuss Baking Challenge,2022- ,8.2,N/A,"
Game-Show, Reality-TV            ",G
35,Masterchef,II) (2010- ,7.2,42,"
Game-Show, Reality-TV            ",TV-14
36,Ink Master,2012- ,7.4,60,"
Game-Show, Reality-TV            ",TV-14
37,Naked Attraction,2016- ,5.4,60,"
Game-Show, Reality-TV, Romance            ",N/A
38,Big Brother,II) (2000- ,5.5,44,"
Game-Show, Reality-TV            ",TV-MA
39,Whose Line Is It Anyway?,1998-2007,8.5,30,"
Comedy, Game-Show            ",TV-PG
40,RuPaul's Drag Race All Stars,2012- ,8.5,60,"
Game-Show, Reality-TV            ",TV-14
41,Top Chef,2006- ,7.7,44,"
Game-Show, Reality-TV            ",TV-14
42,The Apprentice UK,2005- ,7.2,59,"
Game-Show, Reality-TV            ",N/A
43,America's Next Top Model,2003- ,5.6,42,"
Game-Show, Reality-TV            ",TV-PG
44,The Chase,I) (2021- ,6.4,60,"
Game-Show, Reality-TV            ",TV-PG
45,Fear Factor,I) (2001-2012,5.6,60,"
Game-Show, Reality-TV, Thriller            ",TV-PG
46,Iron Chef: Quest for an Iron Legend,2022- ,7.1,45,"
Game-Show, Reality-TV            ",TV-G
47,Glow Up: Britain's Next Make-Up Star,2019- ,6.9,60,"
Game-Show, Reality-TV            ",TV-14
48,Forged in Fire,2015- ,8.3,42,"
Game-Show, Reality-TV            ",TV-PG
49,Are You the One?,2014- ,6.6,41,"
Game-Show, Reality-TV, Romance            ",TV-14
50,The Bachelor,2002- ,3.2,60,"
Drama, Game-Show, Reality-TV            ",TV-14
1,The Crown,2016-2023,8.7,58,"
Biography, Drama, History            ",TV-MA
2,Rise of Empires: Ottoman,2020-2022,7.9,44,"
Documentary, Drama, History            ",TV-MA
3,Vikings: Valhalla,2022- ,7.2,51,"
Action, Adventure, Drama            ",TV-MA
4,Vikings,2013-2020,8.5,44,"
Action, Adventure, Drama            ",TV-MA
5,The Last Kingdom,2015-2022,8.5,60,"
Action, Drama, History            ",TV-MA
6,Marie Antoinette,2022- ,7.2,52,"
Biography, Drama, History            ",N/A
7,The Chosen,2017- ,9.3,54,"
Drama, History            ",TV-PG
8,Our Flag Means Death,2022- ,7.8,30,"
Action, Adventure, Biography            ",TV-MA
9,Call the Midwife,2012- ,8.6,60,"
Drama, History            ",TV-PG
10,George & Tammy,2022-2023,7.6,48,"
Biography, Drama, History            ",TV-MA
11,Bridgerton,2020- ,7.4,60,"
Drama, History, Romance            ",TV-MA
12,Chernobyl,2019,9.4,330,"
Drama, History, Thriller            ",TV-MA
13,Band of Brothers,2001,9.4,594,"
Drama, History, War            ",TV-MA
14,Vienna Blood,2019- ,7.5,45,"
Crime, Drama, History            ",TV-14
15,The Great,2020- ,8.2,45,"
Biography, Comedy, Drama            ",TV-MA
16,The Empress,2022- ,7.8,55,"
Drama, History, Romance            ",TV-MA
17,The Tudors,2007-2010,8.1,60,"
Drama, History, Romance            ",TV-MA
18,Deadwood,2004-2006,8.6,55,"
Crime, Drama, History            ",TV-MA
19,Vinland Saga,2019- ,8.8,24,"
Animation, Action, Adventure            ",TV-MA
20,Sisi,2021- ,6.8,60,"
Drama, History            ",N/A
21,Aranybulla,2022- ,1.1,N/A,"
Documentary, Drama, History            ",N/A
22,Kurulus: Osman,2019- ,7.5,120,"
Action, Adventure, Drama            ",TV-14
23,Dangerous Liaisons,2022,5.8,58,"
Drama, History            ",R
24,Gaslit,2022,7.3,60,"
Biography, Drama, History            ",TV-MA
25,Around the World in 80 Days,2021- ,7.2,60,"
Adventure, Comedy, History            ",PG
26,Romulus,2020- ,7,N/A,"
Drama, Fantasy, History            ",N/A
27,Warrior,2019- ,8.4,60,"
Action, Crime, Drama            ",TV-MA
28,Perry Mason,2020- ,7.5,60,"
Crime, Drama, History            ",TV-MA
29,The Pacific,2010,8.3,530,"
Action, Adventure, Drama            ",TV-MA
30,Medici,2016-2019,7.9,60,"
Biography, Drama, History            ",TV-14
31,When Calls the Heart,2014- ,8,43,"
Drama, History, Romance            ",TV-G
32,Dirilis: Ertugrul,2014-2019,7.9,120,"
Action, Adventure, Drama            ",TV-14
33,Madoff,2016,7.4,165,"
Biography, Crime, Drama            ",TV-PG
34,The Borgias,2011-2013,7.9,50,"
Crime, Drama, History            ",TV-MA
35,When They See Us,2019,8.9,296,"
Biography, Crime, Drama            ",TV-MA
36,It's a Sin,2021,8.7,239,"
Comedy, Drama, History            ",TV-MA
37,Ratched,2020- ,7.3,60,"
Crime, Drama, History            ",TV-MA
38,Traitors,2019,6.6,60,"
History, Thriller            ",TV-MA
39,Ancient Apocalypse,2022- ,7.4,30,"
Documentary, History            ",TV-MA
40,Versailles,2015-2018,7.9,52,"
Biography, Drama, History            ",TV-MA
41,Billy the Kid,2022- ,7.2,49,"
Adventure, Biography, Drama            ",TV-MA
42,Victoria,2016-2019,8.2,60,"
Biography, Drama, History            ",TV-PG
43,The Last Dance,2020,9.1,491,"
Documentary, Biography, History            ",TV-MA
44,History of the World: Part II,2023- ,N/A,N/A,"
Comedy, History            ",N/A
45,War & Peace,2016,8.1,380,"
Drama, History, Romance            ",TV-14
46,Marco Polo,2014-2016,8,60,"
Action, Adventure, Drama            ",TV-MA
47,Britannia,2017- ,6.8,60,"
Action, Drama, Fantasy            ",TV-MA
48,The Son,2017-2019,7.5,44,"
Drama, History, Western            ",TV-14
49,The First Lady,2022,7.1,60,"
Biography, Drama, History            ",TV-MA
50,'Allo 'Allo!,1982-1992,8.4,45,"
Comedy, History, War            ",N/A
1,Wednesday,2022- ,8.2,45,"
Comedy, Crime, Fantasy            ",TV-14
2,The Witcher: Blood Origin,2022,4.5,50,"
Action, Adventure, Drama            ",TV-MA
3,Alice in Borderland,2020- ,7.7,50,"
Action, Drama, Mystery            ",TV-MA
4,1899,2022,7.4,60,"
Drama, Mystery            ",TV-MA
5,Stranger Things,2016- ,8.7,51,"
Drama, Fantasy, Horror            ",TV-14
6,Criminal Minds,2005- ,8.1,42,"
Crime, Drama, Mystery            ",TV-14
7,Severance,2022- ,8.7,55,"
Drama, Mystery, Sci-Fi            ",TV-MA
8,Black Snow,2023- ,7.3,52,"
Crime, Drama, Mystery            ",N/A
9,Lady Voyeur,2023,4.7,378,"
Drama, Mystery, Thriller            ",TV-MA
10,The Rig,2022- ,5.9,51,"
Drama, Mystery, Thriller            ",13+
11,The Witcher,2019- ,8.1,60,"
Action, Adventure, Drama            ",TV-MA
12,National Treasure: Edge of History,2022- ,5.1,50,"
Action, Adventure, Mystery            ",TV-14
13,The Glory,2022- ,8,50,"
Drama, Mystery, Thriller            ",TV-MA
14,Hunters,2020-2023,7.2,60,"
Crime, Drama, Mystery            ",TV-MA
15,The Twilight Zone,1959-1964,9.1,51,"
Drama, Fantasy, Horror            ",TV-PG
16,Three Pines,2022- ,7.3,54,"
Crime, Drama, Mystery            ",TV-14
17,The Peripheral,2022- ,7.7,N/A,"
Drama, Mystery, Sci-Fi            ",TV-MA
18,Law & Order: Special Victims Unit,1999- ,8.1,60,"
Crime, Drama, Mystery            ",TV-14
19,Supernatural,2005-2020,8.4,44,"
Drama, Fantasy, Horror            ",TV-14
20,Doom Patrol,2019- ,7.8,60,"
Action, Adventure, Comedy            ",TV-MA
21,NCIS,2003- ,7.8,60,"
Action, Crime, Drama            ",TV-14
22,Bones,2005-2017,7.8,40,"
Comedy, Crime, Drama            ",TV-14
23,Midsomer Murders,1997- ,7.9,90,"
Crime, Drama, Mystery            ",TV-14
24,True Detective,2014-2019,8.9,55,"
Crime, Drama, Mystery            ",TV-MA
25,The Blacklist,2013- ,8,43,"
Crime, Drama, Mystery            ",TV-14
26,Dark,2017-2020,8.7,60,"
Crime, Drama, Mystery            ",TV-MA
27,Big Sky,2020- ,6.8,60,"
Crime, Drama, Mystery            ",TV-14
28,Death in Paradise,2011- ,7.8,60,"
Comedy, Crime, Drama            ",TV-PG
29,Black Mirror,2011-2019,8.8,60,"
Drama, Mystery, Sci-Fi            ",TV-MA
30,Manifest,2018- ,7.1,43,"
Drama, Mystery, Sci-Fi            ",TV-14
31,Guillermo del Toro's Cabinet of Curiosities,2022- ,7.1,60,"
Drama, Horror, Mystery            ",TV-MA
32,House M.D.,2004-2012,8.7,44,"
Drama, Mystery            ",TV-14
33,The Watcher,2022- ,6.5,332,"
Drama, Horror, Mystery            ",TV-MA
34,Outer Banks,2020- ,7.6,50,"
Action, Crime, Drama            ",TV-MA
35,C.B. Strike,2017- ,7.9,60,"
Crime, Drama, Mystery            ",TV-MA
36,Only Murders in the Building,2021- ,8.1,30,"
Comedy, Crime, Drama            ",TV-MA
37,Yellowjackets,2021- ,7.9,60,"
Drama, Horror, Mystery            ",TV-MA
38,The Sandman,2022- ,7.7,45,"
Drama, Fantasy, Horror            ",TV-MA
39,Law & Order,1990- ,7.8,45,"
Crime, Drama, Mystery            ",TV-14
40,Lost,2004-2010,8.3,44,"
Adventure, Drama, Fantasy            ",TV-14
41,Black Bird,2022,8.1,347,"
Biography, Crime, Drama            ",TV-MA
42,The Sinner,2017-2021,7.9,45,"
Crime, Drama, Mystery            ",TV-MA
43,Columbo,1971-2003,8.3,100,"
Crime, Drama, Mystery            ",TV-PG
44,The X-Files,1993-2018,8.6,45,"
Crime, Drama, Mystery            ",TV-14
45,Blue Bloods,2010- ,7.7,43,"
Crime, Drama, Mystery            ",TV-14
46,Poker Face,2023- ,N/A,N/A,"
Mystery            ",N/A
47,Quantum Leap,2022- ,5.7,42,"
Drama, Mystery, Sci-Fi            ",TV-PG
48,FBI,2018- ,7,60,"
Action, Crime, Drama            ",TV-14
49,True Blood,2008-2014,7.9,55,"
Drama, Fantasy, Mystery            ",TV-MA
50,The Vampire Diaries,2009-2017,7.7,43,"
Drama, Fantasy, Horror            ",TV-14
1,Willow,2022- ,5.4,N/A,"
Action, Adventure, Drama            ",TV-14
2,Emily in Paris,2020- ,6.9,30,"
Comedy, Drama, Romance            ",TV-MA
3,House of the Dragon,2022- ,8.5,N/A,"
Action, Adventure, Drama            ",TV-MA
4,Grey's Anatomy,2005- ,7.6,41,"
Drama, Romance            ",TV-14
5,Friends,1994-2004,8.9,22,"
Comedy, Romance            ",TV-14
6,The Big Bang Theory,2007-2019,8.2,22,"
Comedy, Romance            ",TV-PG
7,Vikings: Valhalla,2022- ,7.2,51,"
Action, Adventure, Drama            ",TV-MA
8,Bones,2005-2017,7.8,40,"
Comedy, Crime, Drama            ",TV-14
9,Modern Family,2009-2020,8.5,22,"
Comedy, Drama, Romance            ",TV-PG
10,Vikings,2013-2020,8.5,44,"
Action, Adventure, Drama            ",TV-MA
11,That '90s Show,2023- ,N/A,30,"
Comedy, Drama, Romance            ",TV-14
12,You,2018- ,7.7,45,"
Crime, Drama, Romance            ",TV-MA
13,Step by Step,1991-1998,6.5,30,"
Comedy, Family, Romance            ",TV-G
14,Firefly Lane,2021-2023,7.4,N/A,"
Drama, Romance            ",TV-MA
15,Outlander,2014- ,8.4,60,"
Drama, Fantasy, Romance            ",TV-MA
16,Outer Banks,2020- ,7.6,50,"
Action, Crime, Drama            ",TV-MA
17,Our Flag Means Death,2022- ,7.8,30,"
Action, Adventure, Biography            ",TV-MA
18,Gossip Girl,2021- ,5.4,60,"
Drama, Romance            ",TV-MA
19,One Tree Hill,2003-2012,7.8,60,"
Drama, Romance, Sport            ",TV-14
20,How I Met Your Mother,2005-2014,8.3,22,"
Comedy, Romance            ",TV-14
21,That '70s Show,1998-2006,8.1,22,"
Comedy, Drama, Romance            ",TV-14
22,New Girl,2011-2018,7.8,22,"
Comedy, Romance            ",TV-14
23,True Blood,2008-2014,7.9,55,"
Drama, Fantasy, Mystery            ",TV-MA
24,The Vampire Diaries,2009-2017,7.7,43,"
Drama, Fantasy, Horror            ",TV-14
25,ER,1994-2009,7.9,44,"
Drama, Romance            ",TV-14
26,Bridgerton,2020- ,7.4,60,"
Drama, History, Romance            ",TV-MA
27,Buffy the Vampire Slayer,1997-2003,8.3,44,"
Action, Drama, Fantasy            ",TV-14
28,Castle,2009-2016,8.1,43,"
Comedy, Crime, Drama            ",TV-14
29,Two and a Half Men,2003-2015,7.1,22,"
Comedy, Romance            ",TV-14
30,Alchemy of Souls,2022- ,8.8,80,"
Action, Drama, Fantasy            ",Approved
31,This Is Us,2016-2022,8.7,45,"
Comedy, Drama, Romance            ",TV-14
32,Downton Abbey,2010-2015,8.7,58,"
Drama, Romance            ",TV-PG
33,Once Upon a Time,2011-2018,7.7,60,"
Adventure, Fantasy, Romance            ",TV-PG
34,Teen Wolf,2011-2017,7.7,41,"
Action, Drama, Fantasy            ",TV-14
35,Gossip Girl,2007-2012,7.5,42,"
Drama, Romance            ",TV-14
36,Doc Martin,2004-2022,8.4,46,"
Comedy, Drama, Romance            ",TV-14
37,Waterloo Road,2006-2015,7.2,53,"
Drama, Romance            ",TV-14
38,Spartacus,2010-2013,8.5,55,"
Action, Adventure, Biography            ",TV-MA
39,Pretty Little Liars,2010-2017,7.4,44,"
Drama, Mystery, Romance            ",TV-14
40,Sex and the City,1998-2004,7.3,30,"
Comedy, Drama, Romance            ",TV-MA
41,Riverdale,2017- ,6.6,45,"
Crime, Drama, Mystery            ",TV-14
42,Love Life,2020-2021,7.5,35,"
Comedy, Romance            ",TV-MA
43,The Good Place,2016-2020,8.2,22,"
Comedy, Drama, Fantasy            ",TV-PG
44,Normal People,2020,8.4,339,"
Drama, Romance            ",TV-14
45,Desperate Housewives,2004-2012,7.6,45,"
Comedy, Drama, Mystery            ",TV-14
46,The O.C.,2003-2007,7.5,44,"
Comedy, Drama, Romance            ",TV-PG
47,Virgin River,2019- ,7.4,44,"
Drama, Romance            ",TV-14
48,Mom,2013-2021,7.3,30,"
Comedy, Drama, Romance            ",TV-14
49,A Discovery of Witches,2018-2022,7.9,60,"
Drama, Fantasy, Romance            ",TV-MA
50,WandaVision,2021,7.9,350,"
Action, Comedy, Drama            ",TV-PG
1,Alice in Borderland,2020- ,7.7,50,"
Action, Drama, Mystery            ",TV-MA
2,The Last of Us,2023- ,9.6,N/A,"
Action, Adventure, Drama            ",TV-MA
3,Andor,2022- ,8.4,40,"
Action, Adventure, Drama            ",TV-14
4,Stranger Things,2016- ,8.7,51,"
Drama, Fantasy, Horror            ",TV-14
5,Severance,2022- ,8.7,55,"
Drama, Mystery, Sci-Fi            ",TV-MA
6,The Boys,2019- ,8.7,60,"
Action, Comedy, Crime            ",TV-MA
7,The Twilight Zone,1959-1964,9.1,51,"
Drama, Fantasy, Horror            ",TV-PG
8,The Peripheral,2022- ,7.7,N/A,"
Drama, Mystery, Sci-Fi            ",TV-MA
9,Doctor Who,2005- ,8.6,45,"
Adventure, Drama, Sci-Fi            ",TV-PG
10,Star Wars: The Bad Batch,2021- ,7.8,N/A,"
Animation, Action, Adventure            ",TV-PG
11,Rick and Morty,2013- ,9.1,23,"
Animation, Adventure, Comedy            ",TV-14
12,Doom Patrol,2019- ,7.8,60,"
Action, Adventure, Comedy            ",TV-MA
13,American Horror Story,2011- ,8,60,"
Drama, Horror, Sci-Fi            ",TV-MA
14,The Handmaid's Tale,2017- ,8.4,60,"
Drama, Sci-Fi, Thriller            ",TV-MA
15,The Mandalorian,2019- ,8.7,40,"
Action, Adventure, Fantasy            ",TV-14
16,Dark,2017-2020,8.7,60,"
Crime, Drama, Mystery            ",TV-MA
17,Black Mirror,2011-2019,8.8,60,"
Drama, Mystery, Sci-Fi            ",TV-MA
18,Manifest,2018- ,7.1,43,"
Drama, Mystery, Sci-Fi            ",TV-14
19,The Flash,2014-2023,7.6,43,"
Action, Adventure, Drama            ",TV-PG
20,The Sandman,2022- ,7.7,45,"
Drama, Fantasy, Horror            ",TV-MA
21,Lost,2004-2010,8.3,44,"
Adventure, Drama, Fantasy            ",TV-14
22,The X-Files,1993-2018,8.6,45,"
Crime, Drama, Mystery            ",TV-14
23,Titans,I) (2018- ,7.6,45,"
Action, Adventure, Crime            ",TV-MA
24,Quantum Leap,2022- ,5.7,42,"
Drama, Mystery, Sci-Fi            ",TV-PG
25,Fear the Walking Dead,2015-2023,6.8,44,"
Drama, Horror, Sci-Fi            ",TV-MA
26,Star Trek: Strange New Worlds,2022- ,8.2,52,"
Action, Adventure, Sci-Fi            ",TV-PG
27,Westworld,2016-2022,8.5,62,"
Drama, Mystery, Sci-Fi            ",TV-MA
28,For All Mankind,2019- ,8,60,"
Drama, Sci-Fi            ",TV-MA
29,The Orville,2017- ,8,44,"
Adventure, Comedy, Drama            ",TV-14
30,The Umbrella Academy,2019-2023,7.9,60,"
Action, Adventure, Comedy            ",TV-14
31,Star Trek: The Next Generation,1987-1994,8.7,44,"
Action, Adventure, Sci-Fi            ",TV-PG
32,My Hero Academia,2016- ,8.4,24,"
Animation, Action, Adventure            ",TV-14
33,The Expanse,2015-2022,8.5,60,"
Drama, Mystery, Sci-Fi            ",TV-14
34,Smallville,2001-2011,7.5,60,"
Action, Adventure, Drama            ",TV-PG
35,The 100,2014-2020,7.6,43,"
Drama, Mystery, Sci-Fi            ",TV-14
36,Person of Interest,2011-2016,8.5,43,"
Action, Crime, Drama            ",TV-14
37,She-Hulk: Attorney at Law,2022,5.2,35,"
Action, Adventure, Comedy            ",TV-14
38,Halo,2022- ,7.1,60,"
Action, Adventure, Sci-Fi            ",TV-14
39,Star Trek: Discovery,2017- ,7,60,"
Action, Adventure, Drama            ",TV-14
40,Kindred,2022,7.4,42,"
Drama, Fantasy, Mystery            ",TV-MA
41,Foundation,2021- ,7.4,60,"
Drama, Sci-Fi            ",TV-14
42,Arrow,2012-2020,7.5,42,"
Action, Adventure, Crime            ",TV-14
43,Obi-Wan Kenobi,2022,7.1,N/A,"
Action, Adventure, Sci-Fi            ",TV-14
44,"Love, Death & Robots",2019- ,8.4,15,"
Animation, Short, Action            ",TV-MA
45,See,2019-2022,7.6,60,"
Action, Drama, Sci-Fi            ",TV-MA
46,Daredevil,2015-2018,8.6,54,"
Action, Crime, Drama            ",TV-MA
47,Peacemaker,2022- ,8.3,40,"
Action, Adventure, Comedy            ",TV-MA
48,Arcane,2021- ,9,41,"
Animation, Action, Adventure            ",TV-14
49,Star Trek: Picard,2020-2023,7.3,46,"
Action, Adventure, Drama            ",TV-MA
50,Star Wars: The Clone Wars,2008-2020,8.4,23,"
Animation, Action, Adventure            ",TV-PG
1,Rise of Empires: Ottoman,2020-2022,7.9,44,"
Documentary, Drama, History            ",TV-MA
2,Vikings: Valhalla,2022- ,7.2,51,"
Action, Adventure, Drama            ",TV-MA
3,Vikings,2013-2020,8.5,44,"
Action, Adventure, Drama            ",TV-MA
4,SAS Rogue Heroes,2022,8.2,52,"
Action, Drama, Thriller            ",TV-MA
5,SEAL Team,2017- ,7.7,43,"
Action, Drama, War            ",TV-14
6,Band of Brothers,2001,9.4,594,"
Drama, History, War            ",TV-MA
7,Halo,2022- ,7.1,60,"
Action, Adventure, Sci-Fi            ",TV-14
8,M*A*S*H,1972-1983,8.4,25,"
Comedy, Drama, War            ",TV-PG
9,The Tudors,2007-2010,8.1,60,"
Drama, History, Romance            ",TV-MA
10,Rome,2005-2007,8.7,52,"
Action, Drama, Romance            ",TV-MA
11,Masters of the Air,2023- ,N/A,N/A,"
Action, Drama, Thriller            ",N/A
12,The Last Ship,2014-2018,7.4,60,"
Action, Drama, Sci-Fi            ",TV-14
13,Kurulus: Osman,2019- ,7.5,120,"
Action, Adventure, Drama            ",TV-14
14,The Pacific,2010,8.3,530,"
Action, Adventure, Drama            ",TV-MA
15,Dirilis: Ertugrul,2014-2019,7.9,120,"
Action, Adventure, Drama            ",TV-14
16,Strike Back,2010-2020,8.1,45,"
Action, Drama, Thriller            ",TV-MA
17,Hogan's Heroes,1965-1971,7.8,25,"
Comedy, War            ",TV-PG
18,Foyle's War,2002-2015,8.6,90,"
Crime, Drama, Mystery            ",TV-14
19,Versailles,2015-2018,7.9,52,"
Biography, Drama, History            ",TV-MA
20,War & Peace,2016,8.1,380,"
Drama, History, Romance            ",TV-14
21,'Allo 'Allo!,1982-1992,8.4,45,"
Comedy, History, War            ",N/A
22,Fallout,2023- ,N/A,N/A,"
Action, Adventure, Drama            ",N/A
23,Roman Empire,2016-2019,7,48,"
Documentary, Biography, Drama            ",TV-MA
24,The White Queen,2013,7.7,60,"
Drama, History, Romance            ",TV-MA
25,Catch-22,2019,7.7,45,"
Action, Adventure, Comedy            ",TV-MA
26,Destan,2021-2022,7.6,130,"
Action, History, War            ",N/A
27,The White Princess,2017,7.5,60,"
Drama, History, Romance            ",TV-MA
28,The Magnificent Century,2011-2014,6.8,90,"
Biography, Drama, History            ",N/A
29,Das Boot,2018- ,7.5,60,"
Drama, War            ",TV-MA
30,Six,2017-2018,7.2,60,"
Action, Drama, History            ",TV-MA
31,Hatfields & McCoys,2012,7.9,290,"
Drama, History, Romance            ",TV-14
32,Generation Kill,2008,8.5,70,"
Drama, War            ",TV-MA
33,The Pillars of the Earth,2010,8,60,"
Drama, Romance, Thriller            ",TV-MA
34,Sharpe,1993-2008,8.4,N/A,"
Action, Adventure, Drama            ",TV-14
35,The World at War,1973-1974,9.2,52,"
Documentary, History, War            ",TV-PG
36,China Beach,1988-1991,8.2,120,"
Drama, History, War            ",N/A
37,Army Wives,2007-2013,7.4,60,"
Drama, Romance, War            ",TV-14
38,Roots,1977,8.4,588,"
Biography, Drama, History            ",TV-14
39,The Vietnam War,2017,9.1,990,"
Documentary, History, War            ",TV-MA
40,Mr. Sunshine,2018,8.7,80,"
Action, Drama, Romance            ",TV-MA
41,Snowdrop,2021- ,8.2,85,"
Crime, Drama, Romance            ",TV-14
42,Over There,2005,7.8,60,"
Action, Drama, War            ",TV-MA
43,The Unit,2006-2009,8,60,"
Action, Drama, Thriller            ",TV-PG
44,TURN: Washington's Spies,2014-2017,8.1,60,"
Drama, History, War            ",TV-14
45,Our Girl,2013-2020,7.6,60,"
Action, Drama, Thriller            ",TV-14
46,The Hollow Crown,2012-2016,8.2,150,"
Drama, History, War            ",TV-14
47,"North and South, Book I",1985,8,561,"
Drama, History, Romance            ",TV-PG
48,The Underground Railroad,2021,7.4,593,"
Drama, Fantasy, History            ",TV-MA
49,86,2021-2022,8.2,24,"
Animation, Action, Drama            ",TV-14
50,Rebellion,2016-2019,7.1,258,"
Drama, History, War            ",TV-MA
1,Yellowstone,2018- ,8.7,60,"
Drama, Western            ",TV-MA
2,1923,2022-2023,8.6,60,"
Drama, Western            ",TV-MA
3,1883,2021-2022,8.8,60,"
Drama, Western            ",TV-MA
4,The English,2022- ,7.9,51,"
Drama, Western            ",TV-MA
5,Justified,2010-2015,8.6,44,"
Action, Crime, Drama            ",TV-MA
6,Gunsmoke,1955-1975,8.1,60,"
Western            ",TV-PG
7,Deadwood,2004-2006,8.6,55,"
Crime, Drama, History            ",TV-MA
8,Longmire,2012-2017,8.3,60,"
Action, Crime, Drama            ",TV-14
9,Godless,2017,8.3,452,"
Action, Drama, Western            ",TV-MA
